time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-08T21:05:37.965Z,-18.1492,-70.1569,101.23,4,mb,,134,0.281,0.92,us,us70004f5w,2019-07-19T01:57:53.040Z,"18km SSE of Tacna, Peru",earthquake,8.5,4.3,0.183,8,reviewed,us,us
2019-07-08T16:05:53.815Z,-18.5954,-70.0033,84.99,4.1,mb,,120,0.391,0.43,us,us70004eun,2019-07-23T15:54:00.040Z,"34km ESE of Arica, Chile",earthquake,9.3,8.7,0.37,2,reviewed,us,us
2019-07-08T12:17:55.518Z,-24.2553,-67.2082,187.56,4.1,mb,,75,1.573,1.18,us,us70004ep5,2019-07-11T06:23:22.040Z,"90km W of San Antonio de los Cobres, Argentina",earthquake,10.9,11.4,0.234,5,reviewed,us,us
2019-07-08T11:24:02.186Z,-32.8843,-72.1247,22.95,4.1,mb,,191,0.432,0.95,us,us70004enk,2019-07-08T21:40:22.050Z,"49km WNW of Valparaiso, Chile",earthquake,4.8,8.2,0.301,3,reviewed,us,us
2019-07-07T16:12:16.223Z,-21.6736,-66.8947,238.53,4.6,mb,,71,1.741,0.67,us,us70004e17,2019-07-22T15:27:33.040Z,"106km SW of Atocha, Bolivia",earthquake,6.9,7.4,0.146,14,reviewed,us,us
2019-07-04T22:45:16.205Z,-28.0401,-66.877,162.54,4.4,mb,,48,2.333,0.68,us,us70004ae0,2019-07-04T23:06:32.040Z,"44km SE of Londres, Argentina",earthquake,7.5,8.3,0.082,43,reviewed,us,us
2019-07-04T00:12:12.232Z,-19.3269,-69.3851,105.44,4.2,mb,,98,0.384,0.73,us,us700049pz,2019-07-20T04:18:29.040Z,"126km NE of Iquique, Chile",earthquake,4,6.2,0.121,19,reviewed,us,us
2019-07-04T00:01:54.482Z,-31.8429,-69.515,115.65,4.5,mb,,68,0.767,0.73,us,us700049pt,2019-07-20T03:55:33.040Z,"57km S of Calingasta, Argentina",earthquake,5.6,6.6,0.15,13,reviewed,us,us
2019-07-02T15:17:56.403Z,-30.6002,-71.4077,34.93,4,ml,,97,0.209,0.66,us,us700048ni,2019-07-02T15:38:26.040Z,"19km W of Ovalle, Chile",earthquake,3.9,11.7,0.052,48,reviewed,us,us
2019-07-02T14:57:28.668Z,-24.0863,-66.8645,243.98,4.1,ml,,230,1.652,0.2,us,us700048n9,2019-07-11T18:33:22.040Z,"57km WNW of San Antonio de los Cobres, Argentina",earthquake,15.2,16.2,0.062,34,reviewed,us,us
2019-07-01T07:41:18.976Z,-22.6758,-67.7836,165.02,4.2,mb,,66,0.456,0.63,us,us700047xc,2019-07-25T14:11:20.040Z,"51km ENE of San Pedro de Atacama, Chile",earthquake,6.6,9.7,0.146,13,reviewed,us,us
2019-07-01T00:48:43.740Z,-31.5741,-68.1945,112.96,4.6,mb,,49,0.419,1.22,us,us700047u7,2019-07-01T02:24:27.411Z,"11km NE of Caucete, Argentina",earthquake,7.6,8.3,0.141,15,reviewed,us,us
2019-07-01T00:33:10.030Z,-21.5403,-68.5078,161.79,4.2,mb,,49,0.728,0.58,us,us700047tw,2019-07-01T00:46:25.040Z,"111km NNE of Calama, Chile",earthquake,6.6,6.7,0.187,8,reviewed,us,us
2019-06-30T23:18:11.034Z,-17.3357,-69.2821,167.21,4.4,mb,,88,0.315,1.21,us,us700047t1,2019-06-30T23:43:37.040Z,"81km E of Chuquitira, Peru",earthquake,8.8,7.3,0.07,59,reviewed,us,us
2019-06-30T22:26:40.955Z,-31.3015,-68.8829,112.16,4.2,mwr,,40,0.296,0.77,us,us700047sp,2019-07-30T00:44:50.440Z,"31km NNW of Zonda, Argentina",earthquake,3.2,4.4,0.083,14,reviewed,us,us
2019-06-30T07:52:33.851Z,-22.2205,-68.7216,135.83,4.3,mb,,35,0.641,0.6,us,us70004gu5,2019-07-27T11:40:06.040Z,"34km NE of Calama, Chile",earthquake,4.2,6.1,0.217,6,reviewed,us,us
2019-06-30T05:50:59.675Z,-31.5382,-71.5037,41.04,4.5,mb,,146,0.544,0.34,us,us700047l0,2019-07-26T11:54:47.885Z,"33km WNW of Illapel, Chile",earthquake,2.9,7.4,0.091,36,reviewed,us,us
2019-06-29T20:14:44.218Z,-18.5325,-69.3877,126.69,4.9,mb,,78,0.227,0.94,us,us700047gj,2019-07-20T00:41:52.040Z,"41km SSE of Putre, Chile",earthquake,5.4,5.4,0.063,79,reviewed,us,us
2019-06-29T13:20:48.094Z,-31.4648,-69.4569,110.26,4.4,mb,,87,0.664,1.09,us,us700047ap,2019-07-27T14:40:38.040Z,"15km SSW of Calingasta, Argentina",earthquake,5.7,6.1,0.087,38,reviewed,us,us
2019-06-29T06:30:08.482Z,-31.7222,-69.3598,114.08,4.4,mb,,75,0.602,0.57,us,us70004774,2019-07-18T07:14:47.252Z,"43km S of Calingasta, Argentina",earthquake,5.6,5.8,0.098,30,reviewed,us,us
2019-06-29T04:57:03.542Z,-30.1956,-71.3476,58.13,4.5,mb,,132,0.291,0.57,us,us7000476a,2019-07-25T23:26:53.190Z,"26km S of Coquimbo, Chile",earthquake,7.8,6,0.243,5,reviewed,us,us
