YEAR,MONTH,DAY,CAUSE_CODE,LATITUDE,LONGITUDE,PRIMARY_MAGNITUDE,COUNTRY,EVENT_VALIDITY
2007,4.0,21.0,3.0,-45285,-72606,6.2,CHILE,4
2007,11.0,14.0,1.0,-22247,-69.89,7.7,CHILE,4
2010,2.0,27.0,1.0,-36122,-72898,8.8,CHILE,4
2010,3.0,11.0,1.0,-34.29,-71891,6.9,CHILE,4
2011,2.0,11.0,1.0,-36474,-73125,6.8,CHILE,4
2014,3.0,16.0,1.0,-19965,-70814,6.7,CHILE,4
2014,4.0,1.0,1.0,-19.61,-70769,8.2,CHILE,4
2014,4.0,3.0,1.0,-20571,-70493,7.7,CHILE,4
2014,10.0,9.0,1.0,-32108,-110811,7.0,CHILE,4
2015,9.0,16.0,1.0,-31573,-71674,8.3,CHILE,4
2015,11.0,11.0,1.0,-29.46,-72.12,6.9,CHILE,4
2016,12.0,25.0,1.0,-43517,-74391,7.6,CHILE,4
2017,4.0,24.0,1.0,-33073,-72051,6.9,CHILE,4
2019,6.0,14.0,1.0,-30056,-72082,6.4,CHILE,4
